Gondi Word	Phonetic	Part of Speech	Telugu Meaning	English Meaning	Hindi Meaning	Ex 1 Gondi	Ex 1 Telugu	Ex 1 English	Ex 1 Hindi	Ex 2 Gondi	Ex 2 Telugu	Ex 2 English	Ex 2 Hindi	Ex 3 Gondi	Ex 3 Telugu	Ex 3 English	Ex 3 Hindi
అంగుర్	/aṅgur/	n	ద్రాక్ష	grape	अंगूर	అంగుర్క్ పండు సీంతెర్.	ద్రాక్ష పండిస్తారు.										
అందూని	/andūni/	n	కట్నం	gift for a special occasion		బయ్యె బాబలిర్ పేడిన్ మూర అందూని సీంతెర్.	తల్లి దండ్రులు కూతురికి కట్నంగా ఆవునిస్తారు.										
అంచె	/an̄ce/	n	చిన్న గంప	small basket		సీందిత ఆకినె తయర్ కీత అద్ అంచె.	ఈత చెట్టు ఆకులతో తయారు చేసిన చిన్న గంప.										
అందెజ	/andeja/	n	అంచన	estimate	अनुमान	మీవ నాటె బచ్విర్ మాయ్‌నలిర్ వెయ్లొక్ మంతంగ్ అందెజ వాట.	మీ ఊరిలో ఎంత మంది స్త్రీ మగవారు ఉన్నారు అంచన వేసి చెప్పు.										
అన్‌ బావ్	/an bāv/	n	అనుభవము	experience		నాకున్ కామ్ కియ్వల్ వెల్లె అన్ బావ్ మంత.	నాకు పని చెయ్యడంలో చాలా అనుభవము ఉంది.										
అన్‌మన్	/anman/	n	అనుమానం	hesitation	हिचकिचाहट	సోపతి మన్వల్ మాయ్‌నన్ పొర్రొ బస్కెన్ అన్‌మన్ ఇర్వ.	తోడుగా ఉండే వ్యక్తి మీద ఎప్పుడూ అనుమానం ఉండకూడదు.										
అనంద్నె పిస్వల్	/anandne pisval/		ఆనందంగా జీవించు			జీవ మన్నల్ వేరి ఆనంద్నె పిస్సన.	జీవించి ఉన్నంత వరకు ఆనందంతో జీవించాలి.										
అని	/ani/	conj	మరియు	and	और												
అప్టెమాయ్వల్	/apṭemāyval/	v	తాకటం	touch		హాటుంనగ వెల్లె మాంది కియ్నెకె వరొన్క్ వరొర్ అప్టెమాంతెర్.	అంగడిలో ఎక్కువ మంది ఉండడం వలన ఒకరికి ఒకరు తాకుతూ ఉంటారు.										
అపుస్వల్	/apusval/		ఆపుట			నిమ్మె వోన్ ఆపుసీమ్.	నీవు అతన్ని ఆపు.										
అబ్బా	/abbā/	intj	అబ్బా	oh! (expression of surprise)	अरे!												
అబ్రి	/abri/	adv	అవతలికి	away		నిమ్మె అబ్రి సర్క ఇంజెర్ ఇన్.	నీవు అవతలికి జరుగు అని చెప్పు.										
అబ్లుక్	/abluk/	n	విచిత్రం	fantasy	आश्चर्य; अचरज; अचंभा; ताज्जुब												
అంబడి	/ambaḍi/	n	జనుము	rosella		అంబడితున్ యేతగ నహ్చి బుయ్లి తెండంతెర్.	జనుమును నీటిలో తడిపి జనపనార తీస్తారు.										
అమ్డి కియ్వల్	/amḍi kiyval/	v	ఆక్రమించు	occupy	आक्रमण कर; चढाई कर	నావ జాగ ఇగ్గెటల్ ఇంజెర్ జాగ అమ్డి కీసెర్ మంతెర్.	నా స్థలము అని ఇక్కడి నుండి ఆక్రమించుకున్నాడు.										
అయ్యొ	/ayyo/	int	అయ్యో	oh no! (expression of disappointment)													
అయ్వెకె	/ayveke/	v	కాకపోతే	otherwise		నేండ్- కామ్ అయ్వెకె నాడి ఆయర్.	ఈ రోజు పని కాక పోతే రేపు అవుతుంది.										
అయిన జావ	/ayina jāva/	n	పోచమ్మ పూజ	porridge which is made on the first day after marriage and given to the 'avval' goddess													
అర	/ara/	v	పడు	fall	गिरना	వోర్ విత్నెకె అర్సికున్ హారెమాతొర్.	అతను పరుగు తీస్తున్నపుడు పడ్డాడు.										
అరంత	/aranta/	v	పడుట	fall		ఆకినగ టిప్క అర్రంత.	ఆకులలో చుక్క పడుతుంది.										
అరబ్బి	/arabbi/	n.prop	అరబ్బి	Arabic													
అర్కిటిక్ సమ్దుర్	/arkiṭik samdur/		అర్కిటిక్ మహా సముద్రం														
అర్గ్-	/arg-/	n	కరిగిపోవడం	to melt, dissolve, wear out	पिघलना	సాకుర్ యేతగ వాట్తెకె అర్గంత.	చక్కెరను నీటిలో వేస్తే కరిగిపోతుంది.										
అర్త	/arta/	vi	పడి పోయింది	fell	गिरना	కాండి గుసుర్క్‌సి అర్తొర్.	బాలుడు జారి పడ్డాడు.	The boy is falling.		సుక్కుం అర్త ఇంజెర్ నాకున్ వెహ్తొర్.	చుక్క పడి పోయింది అని నాకు చెప్పాడు.						
అర్త్	/art/	n	అర్థము	meaning	मतलब	సుంగు పాట వార్తొర్ అద్ పాటతున్ వెల్లె అర్త్ మంత.	సుంగు పాడిన పాటకు చాలా అర్థము ఉంది.										
అర్దొ	/ardo/	adj	సగము	half	आधा	సేప్ పండితున్ ఇవ్విర్ అర్దొ కీసి తింతెర్.	సేపు పండును ఇద్దరు సగము చేసి తింటున్నారు.			నావంగ్ అర్దొ కేల్క్ కత్రి కీసి అహానె ఇర్తొర్.	నా వెంట్రుకలను సగము కత్తిరించి అలానే ఉంచాడు.						
అర్దొ గోల్	/ardo gōl/		అర్ధ గోళం														
అర్దొ సరి-	/ardo sari-/		సగం దారి	half way		అర్దొ సరి- తాక్నెకెన్ అవితోన్.	సగం దారి నడవగానే అలిసి పోయాను.										
అర్రె	/arre/	intj	హా	Hey!													
అర్సివాయొ	/arsivāyo/	n	తేడా	disagreement	भेद; फर्क; प्रकार	వోన్క్ అని నాకున్ అర్సి వాయొ.	అతనికీ నాకూ తేడా ఉంది.										
అర్-	/ar-/		పడి పోవడం	fall down		చుడుర్ కాండి కుహితగ అర్సి కిలిసెర్ మంతొర్.	చిన్న పిల్లవాడు బావిలో పడి కేకలు వేస్తున్నాడు.										
అరిల్	/aril/	n	రొమ్ము	breast	छाती; हृदय; दिल; स्तन	నెయ్దంగ్ అరిల్క్ వెల్లె మంతంగ్.	కుక్కకు రొమ్ములు ఎక్కువగా ఉన్నాయి.										
అరిల్ బోయిండ	/aril bōyiṇḍa/		ముచ్చికము	nipple		వెయ్లొక్ నగ అరిల్ బొయిండంగ్ మందంతంగ్.	స్త్రీలకు చనులకు ముచ్చికలుంటాయి.										
అరిసొన్	/arison/	v	సహాయం చేయు	to take away, take with		రుక్మిని బయ్యెన్ అరిసొత్త.	రుక్మిణి అమ్మకు సహాయం చేసింది.										
అరుసిమ్	/arusim/	v	పడగొట్టు	topple		మర్క పండితున్ మర్రతల్ అరుసిమ్.	మామిడి పండును చెట్టునుండి పడగొట్టు.										
అలగ్	/alag/	adv	వేరుగా	difference	भेद; अंतर; परिवर्तन; मत भेद; मन मुटाव	అలగ్ మంజి సాడ కరితొర్.	వేరుగా ఉండి చదువుకున్నాడు.										
అల్జ్-	/alj-/	n	ఒరగటం	to lean against													
అల్లం	/allaṁ/	n	అల్లం గడ్డ	ginger	अदरक												
అల్లే	/allē/	conj	కాని	reported		మీన్కు సొత్తెకె అల్లె మీన్ పియ ఇంతెర్.	చేపల వేటకు వెలితే చేప పట్టుకో అంటారు.										
అల్వట్	/alvaṭ/	n	అలవాటు	habit	आदत; अभ्यास	రాజు జీవత్ సాటి రోజి సక్రె యొగ కియ్వల్ అల్వట్ ఆతొర్.	రాజు ఆరోగ్యం కోసం రోజు పొద్దున యోగ చెయ్యడానికి అలవాటు పడ్డాడు.										
అల్స్ పుల్స్	/als puls/		తెల్ల దనం	neat in appearance		మర్మిన్ నేటి చొకొట్ దిసన్ సాటి అల్స్ పుల్స్ తయర్ ఆంతెర్.	పెళ్లిలో బాగా కనిపించాలని చక్కగా తయారు అవుతారు.										
అల్-	/al-/	n	అల్లుట	knitting		నావ సేలడ్ మల్లె పుంగక్ అల్సెర్ మంత.	నా చెల్లెమ్మ మల్లె పువ్వులు అల్లుతుంది.										
అవకాస్	/avakās/	n	అవకాశం	opportunity	मौक़ा; फुरसत; समय	వోన్ పోలిస్ అపిసర్ ఆయ్వల్ వోన అవకాస్ వాత.	అతను పోలీస్ అధికారి అయ్యే అవకాశం వచ్చింది.										
అవ్	/av/	pron	అవి	they, those (nm.)	वे	అవ్ బోనంగ్ పుస్తక్ ఆందుంగ్.	అవి ఎవరి పుస్తకాలు.										
అవ్ట్	/avṭ/	num	ఎనిమిది	eight	आठ												
అవ్రెమాయొ	/avremāyo/		ఆపుకోలేక పోవడం	not tight		వేన సోఙ్ వెన్క్ అవ్రెమాయొ.	ఇతను కోపోద్వేగాన్నిఆపుకోలేడు.										
అవ్వల్	/avval/	n	అమ్మా	mother													
అవ్వల్ బాబో	/avval bābō/	n	తల్లి దండ్రులు	parents, father and mother (pl.)	माता-पिता												
అవ్వల్	/avval/	n	పోచమ్మ దేవత	the mother god, smallpox goddess		మర్మిన అయిన జావ కియ్లె డప్క్ పాసెర్ అవ్వల్ పేన్దగ దాంతెర్.	పెండ్లి పూజ చేయడానికి పోచమ్మ దేవత దగ్గరికి బాజా భజంత్రీలతో వెళతారు.	At the beginning of a wedding, for doing pooja, the beat drums and go to the * goddess place (temple).									
అవి-	/avi-/	vi	అలిసి పోవడం	to be tired	थकना	హాటుం సొన్నెకె తాక్సి తాక్సి అవియంతెర్.	అంగడికి వెళ్లినప్పుడు నడిచి నడిచి అలిసి పోతారు.										
అవెక్నగ	/aveknaga/	pron	వాటిలో	with them		ఇద్ నెయ్ అవెక్నగ మీరెమాత.	ఈ కుక్క వాటిలో కలిసి పోయింది.										
అసల్	/asal/	adj	అందమైన	good	अच्छा	నావ కెయ్‌ద గడి బయ్ అసల్ మంత.	నా గడియారము చాలా అందముగా ఉంది.										
అస్క్-	/ask-/	n	కోయడం	to cut, carve, cut throat (as in sacrifice)	काटना	పొప్పయ్ పండితున్ సెట్టెడె అస్క్ సెర్ మంతొర్.	బొప్పాయి పండును కొడవలి తో కోస్తున్నాడు.										
అస్కె	/aske/	n	అప్పుడు	then	तब	అస్కె మావొర్ తాదొ వెహ్తొర్.	అప్పుడు మా తాతయ్య చెప్పాడు.			అస్కెడంగ్ వేసుడింగ్ గిర్ ఇన్కె వేరి మంతంగ్.	గత కాలపు కథలు ఇప్పటి వరకు కూడ ఉన్నాయి.			మహ్గ అస్కెడ తమ్మ ముద్ద మంత.	మాదగ్గర పూర్వపు ఇత్తడి ఉంగరం ఉంది.		
అస్కెడల్	/askeḍal/		అప్పటినుంచి			నిమ్మె వాంతి ఇంజెర్ అస్కెడల్ సూడంతొన్.	నీవు వస్తావని అప్పటి నుండి చూస్తున్నాను.										
అస్తుర్ కయ్	/astur kay/	n	అరచేయి	palm of hand		అస్తుర్ కయ్దె మేంది వాటంతంగ్.	అర చేతిలో గోరింటాకు వేస్తున్నారు.										
అస్తుర్ కాల్	/astur kāl/	n	అరి పాదం	sole of foot	एक मात्र												
అస్లి	/asli/	adv	మంచిగా	good	अच्छा	పోడ్ద్ అస్లి వేడ్చి సీంత.	సూర్యుడు మంచి వెలుతురును ఇస్తున్నాడు.										
అహన్	/ahan/	adv	దానిలాగా	in that way, thus	इस तरह	అద్ బాన్ కామ్ కీంత అహన్ కామ్ కీమ్.	ఆమె ఎలా పని చేస్తుందో అలా పనిచెయ్యాలి.										
అహ్చ్-	/ahc-/	v	ఒత్తి పట్టడం	to push or shove	दबाकर												
అహ్చ్-	/ahc-/	n	ఒత్తుడు	to make a thumb impression	दबना												
అహ్నె	/ahne/	adv	అలాగ	like that													
అహెర్	/aher/	n	సన్మానించడం	gift (of things excluding cattle, such as clothes and household items) for weddings or housewarming ceremonies		చుట్టల్ బందుక్, మర్మిన్‌గ నొవ్రినేర్, నొవ్రనేర్ బెయె బాబన్ కప్డింగ్ అహేర్ కీంతెర్.	చుట్టాలు పెండ్లిలో వధూ వరుల తల్లి దండ్రులకు బట్టలు కట్నంగా పెడతారు.	Family members, during marriage give the brides and grooms gifts of clothes.									
ఆకడి	/ākaḍi/	n	పండుగ పేరు	a festival held in July		ఆకడి మహ్న ఆక్డ తెండంతెర్.	జూలై మాసంలో ఆక్డ తీస్తారు.										
ఆకడి (-మహిన)	/ākaḍi (-mahina)/	n	జూలై (జూలై)	month 4 of the Gond year (June-July)													
ఆకడి (మహ్న)	/ākaḍi (mahna)/	n	పండుగ పేరు	a festival held in July		ఆకడి మహ్న ఆక్డ తెండంతెర్.	జూలై మాసంలో ఆక్డ తీస్తారు.										
ఆకడి (-మహిన)	/ākaḍi (-mahina)/	n	జూలై (జూలై)	month 4 of the Gond year (June-July)													
ఆక్టి	/ākṭi/		వేడిమి కోసం			వావ్టె జాగ్లి మత్తెకె ఆక్టి కీసి మందంతెర్.	చేనులో కావలి ఉంటే చలిమంట చేసి ఉంటారు.										
ఆక్డె మా-	/ākḍe mā-/		వంకరయిపోవడం	to become numb from cold													
ఆక్రి	/ākri/	adj	చివరి	to last, wear well	आखिर; अंत में	నాకున్ బస్ నగ ఆక్రి సీట్ పుట్త.	నాకు బస్సులో చివరి సీటు దొరికింది.										
ఆక్రిత	/ākrita/	adv	చివరిది	last one		అక్రిత సేలడున్ మర్మింగ్ కీంతొమ్.	చివరి చెల్లెలి పెళ్లి చేస్తున్నాము.										
ఆకార్	/ākār/	n	ఆకారం	outline	आकार; रूप; शकल	ఉంది ఆకార్ తె పండింగ్ కొయ్సి ఇర్తొర్.	ఒక ఆకారంలో పండును కోసి ఉంచాడు.										
ఆకి పేన్	/āki pēn/			Gond deity	गाँव के भगवान का नाम												
ఆకి బీబట్	/āki bībaṭ/		చిరుత పులి			చుడుర్ డువడున్ ఆకి బీబట్ ఇంజెర్ ఇంతెర్.	చిరుత పులిని ఆకు బీబట్ అని అంటారు.										
ఆకుడ్	/ākuḍ/	n	కమ్మి	short in length	अपर्याप्त	మావ కాసుడ ఇర్స్ ఆకుడ్ మంత.	మా ఎడ్ల బండి ఇరుసు చిన్నదిగా ఉన్నది.			కేస్కుడ్ వెల్లె ఆకుడ్ మంత.	నిచ్చెన చాలా పొట్టిగా ఉంది.						
ఆగమె	/āgame/	adv	ఊరికే	predictably		ఆగమె నాకున్ కేయ్తొర్.	నన్ను ఊరికే పిలిచాడు.										
ఆగ్రమ్	/āgram/	n	కోరిక	need													
ఆగ్-	/āg-/	v	ఆగింది	to stop, stand	रोकना												
ఆగుటి	/āguṭi/	v	ఆక్రమించు	occupy	आक्रमण कर; चढाई कर	ఇగ్గెటల్ నావ జాగ ఇంజెర్ అగుటికీతొర్.	ఇక్కడి నుండి నా చోటు అని ఆక్రమించాడు.										
ఆగుటి కియ్వల్	/āguṭi kiyval/	v	సొంతం చేసుకోవడం	possess		రోన్ వాటన్ సాటి వెల్లె జాగ ఆగుటికీతొర్.	ఇల్లు కట్టడానికి ఎక్కువ చోటు సొంతం చేసుకున్నాడు.										
ఆగె	/āge/	n	ఆజ్ఙ	command		నీకున్ నన్న ఆగె సీతొన్.	నీకు నేను ఆఙ్ఞ ఇచ్చాను.										
ఆఙ్‌దుడీ	/āṅduḍī/	n	స్నానపు గది	bathroom	स्नानघर	యేర్ తుంగ్వల్ కమ్రతున్ అఙ్ దుడి ఇంతెర్.	స్నానము చేసే గదిని స్నానపు గది అంటారు.										
ఆఙ్‌రాయ్సల్	/āṅrāysal/	n	సోమరి పోతు	lazy man		కామ్ కియ్లెన్ కయ్దిన్ అయొర్ వోన్ అఙ్ రాయ్సల్ ఇంతెర్.	పని చెయ్యడానికి చాతకాని వాన్ని సోమరి పోతు అంటారు.										
ఆఙుడ్ అస్టన్	/āṅuḍ asṭan/	n	స్నానము చెయ్యడం	ritual bath		యేర్ తుంగ్వడున్ ఆఙుడ్ అస్టన్ ఇంతెర్.	పవిత్ర స్నానం ఆచరించడాన్ని ఆఙుడ్అస్టన్ అంటారు.										
ఆఙున్ కస్టల్	/āṅun kasṭal/	n	సోమరి పోతు	lazy man		కామ్ కియ్లె ఆయో వోన్ ఆఙున్ కస్టల్ ఇంతెర్.	పని చేతకాని వాన్ని సోమరి పోతు అంటారు.										
ఆచంద్రల్	/ācandral/	adj	రేచీకటి గలవాడు	night-blind		నర్కక్ దిస్సొ వోన్ అచంద్రల్ ఇంతెర్.	రాత్రి కళ్లు కనిపించని వారిని రేచీకటి గలవాడు అంటారు.										
ఆచర్	/ācar/	n	ఆచారం	succession	परंपरा; क्रम	నీవ ఆచర్ నిమ్మె మరుంగ్మ.	నీ ఆచారాలు నీవు మరువకు.										
ఆచర్ విచర్	/ācar vicar/	n	ఆచారం	custom	आचार; रिवाज; रस्म; आचरण; बर्ताव	మావ జాతితగ ఆచర్ విచర్ మందంత.	మా జాతిలో ఆచారాలు ఉంటాయి.										
ఆచ్త	/ācta/	adj	ఎంచదగిన	preferable		చొకొట్నంగ్ మర్క పండినున్ ఆచన.	మంచి మామిడి పండ్లను ఎంచుకోవాలి.										
ఆచ్-	/āc-/	n	ఎన్నుకోవడం	to choose	चुनना	మావ నాటె సర్పంచున్ మరట్ అచంతొమ్.	మా ఊరి సర్పంచ్‌ని మేము ఎన్నుకుంటాము.										
ఆచారం	/ācāraṁ/	n	పద్ధతి	dogma		ఇద్ మావ జాతి ఆచారం ఆంద్.	ఇది మా జాతి పద్ధతి.										
ఆట్ముటుడి (మర్ర)	/āṭmuṭuḍi (marra)/	n	ఒక రకమైన (చెట్టు)	a kind of a tree													
ఆటి	/āṭi/	n	ముడి	knot	गाँठ	వెయ్లొక్ కెల్కున్ ఆటి పాంతంగ్.	స్త్రీలు వెంట్రుకలను ముడి వేస్తారు.										
ఆటి పా-	/āṭi pā-/	v	చుట్టి ఉండడం	to twist something	ऐंठना	నోడెత్ కస్రకియ్లె ఆటిపాంతెర్.	త్రాడును పగ్గం చేయుటకు అల్లుతారు.	We twist the rope to make reigns.									
ఆటె మా-	/āṭe mā-/	v	ఎండిపోవడము	to evaporate, to dry up (river, etc)	सुकना	గొహ్క్‌నగ యేర్ సుటి కీయ్నెకె కుహిత యేర్ ఆటెమాత.	గోదుమలకు నీరు వదిలేటప్పుడు బావి నీరు ఎండిపోయింది.										
ఆటెర	/āṭera/	n	అటక	attic, store area above rafters of house, loft	टाँड	రోతగ, బుడ్డింగ్-ముడ్డింగ్ పొర్రొ ఇర్లె ఆటేర కీంతెర్.	ఇంటి సామాను పైన ఉంచుటకు ఇంట్లో అటక తయారుచేస్తారు.	In order to put pots and things up, * is made in the house.		మావ రోత ఆటేర తగ తరస్ వాసి మంత.	మా ఇంటి పై కప్పులో పాము వచ్చి ఉంది.						
ఆడ	/āḍa/	n	ఒట్టు	oath	खसम	నిమ్మె కొత్తంగ్ కల్మాకి ఇంజెర్ ఆడ పియంతి.		Take an oath if you say you didn't steal the money.									
ఆడ-పి-	/āḍa-pi-/			to take an oath	खसम खाना												
ఆడ్ముట్	/āḍmuṭ/	n	చిచ్చర పిడుగు	audacity	धैर्य; पराक्रम; साहस; धीरता; हिम्मत; दिलेरी	వోర్ వెల్లె ఆడ్ముట్ మంతొర్.	అతను చాలా చిచ్చర పిడుగు లాంటివాడు.										
ఆడ్‌మాడ్సొ	/āḍmāḍso/	n	బార్యా భర్తలు	husband and wife	पति-पत्नी	మర్మింగ్ ఆతుర్ ఊర్కున్ ఆడ్ మాడ్సొ ఇంతెర్.	పెళ్లి చేసుకున్న వాళ్లని బార్యా భర్తలు అంటారు.										
ఆడె	/āḍe/	n	ఆడె కట్టె	main horizontal wooden beam to support the roof of a dwelling		రోన్ వాసంగ్ హిందల్ హందల్ పాయన్‌సాటి ఆడె కట్టె వాటంతెర్.	ఇంటి వాసాలు ఇటు అటు కొట్టుటకు ఆడె కట్టె వెనుగర్ర తయారు చేస్తారు.	A main beam is put up so that the rafters can be nailed to both sides.									
ఆడెందల్	/āḍendal/		తెలివి హీనుడు	unintelligent		ఆడెందల్ కరబ్ కామ్ కీంతొర్.	తెలివి హీనుడు చెడ్డ పనులు చేస్తాడు.										
ఆత	/āta/	v	అయింది	it happened		నిన్నె గాటొ తిన్వ సొంజి బయ్ కటిన్ ఆత.	నిన్న నేను అన్నము తినక పోవడం వలన బాగా కష్టం అయింది.										
ఆతకామ్	/ātakām/		జరిగిన పని	completed work		ఆత కామున్ పజ్జె మల్సి సూడ్వ.	జరిగిన పనిని తిరిగి చూడకు.										
ఆతంగ్	/ātaṅg/	adj	అలాంటి	similar		నన్న గిర్ ఆతంగ్ పండింగ్ తింతొన్ ఇంజెర్ కాండి ఆడంతొర్.	నేను కూడా అలాంటి పండ్లు తింటాను అని పిల్లవాడు ఏడుస్తున్నాడు.										
ఆతల్	/ātal/	adj	అటువంటిది	of that kind (nm.)	उस तरह	మిహ్గ మంత అతల్ మహ్గగిర్ మంత.	మీ దగ్గర ఉన్నట్లు మా దగ్గర కూడా ఉంది.										
ఆత్మ	/ātma/	n	ఆత్మ	soul	आत्मा; रूह	సాతొర్ వోన ఆత్మ మేందొల్ సుట్టికీసి సొడియంత.	చనిపోయిన వాని ఆత్మ దేహం వదిలి వెళుతుంది.										
ఆత్మపేన్	/ātmapēn/		ఆత్మ దేవుని			పేన్ ఉంది ఆత్మత రూప్నె మంతొర్.	దేవుడు ఆత్మ రూపంలో ఉన్నాడు.										
ఆత్మవడి	/ātmavaḍi/		గాలిలో ఆత్మ	soul in the air		ఆత్మ వడి వడిదె వాసెర్ మంత.	గాలిలో ఆత్మ వస్తున్నది.										
ఆతి	/āti/	n	అత్తమ్మ	aunt	सासूमाँ; मामी												
ఆతి మామల్	/āti māmal/	n	అత్త మామలు			నాకున్ పొరొల్ దొసన్ సాటి ఆతి మామల్ వాతెర్.	నాకు పేరు పెట్టడానికి అత్త మామలు వచ్చారు.										
ఆతెకె	/āteke/	adv	అయితే	if so	(हो) तो												
ఆతొర్	/ātor/	n	అటువంటివాడు	of that kind (m.)	उस तरह	రాజు గిర్ మనోజున్ దాత్ అతోరె మంతొర్.	రాజు కూడ మనోజ్ అటువంటివాడు ఉన్నాడు.										
ఆదత్	/ādat/	n	అలవాటు	hobby	आदत; अभ्यास	వోన్ చహ ఉన్వల్ ఆదత్ ఆత.	అతనికి చాయ తాగడం అలవాటు అయింది.										
ఆదర్	/ādar/	adv	సహాయంగా	support	आधार; सहारा	పోసటి కాండిర్ బతయ్ ఆదర్ సెల్వక్ మందంతెర్.	అనద పిల్లలు ఏ సహాయం లేకుండా ఉంటారు.										
ఆదర్తె సొన్	/ādarte son/	v	ఆధారంగా వెళ్లు	supplement													
ఆదర్తెమన్	/ādarteman/	v	ఆధారపడు	depend	निर्भर हो												
ఆదివాసి	/ādivāsi/	n	ఆదివాసి	aborigine	आदिवासी; आदिम निवासी	ఆదిలాబాద్నగ ఆదివాసి గోండి మంతెర్.	ఆదిలాబాదులో ఆదివాసి గోండులున్నారు.										
ఆన్వల్	/ānval/	n	ఆనవాలు	credential	पहचान; चिह्न; निशान	మావ రొహ్క్ నగ ఆన్వల్ లిహి కీతెర్.	మా ఇండ్లలో ఆనవాలు రాసుకున్నారు.										
ఆంగ్డె	/āṅgḍe/	n	చొక్కా	shirt	कमीज़	మర్మింగ్ అనెకె నన్న ఆంగ్డె కెర్తొన్.	పెళ్లి అయేటప్పుడు చొక్కా వేసుకున్నాను.			రోజి ఆంగ్డెంగ్ కెర్సి మందన.	రోజు చొక్కా వేసుకోని ఉండాలి.						
ఆంజ్-	/ān̄j-/	v	అందుకో	to catch	पकड़ना	మర్క పండితున్ వాట్తెకె ఆంజన.	మామిడి పండును వేస్తాను అందుకో.										
ఆందున్	/āndun/	n	దానం	gift (of cattle such as cows, goats or buffaloes) for marriage usually from the bride's parents to the couple	दान	బెయె బాబల్ మియాడున్ హెర్రె, మూర సీతెకె తాన్ ఆందున్ ఇంతెర్.	తండ్రి కూతురుకిచ్చే మేకలను, ఆవులను కట్నము అంటారు.	It is called * when a father and mother give goats and cows to their daughter (for marriage).									
ఆనంద్ ఆమ్	/ānand ām/	v	సంతోషించు	pleasure													
ఆనంద్నె	/ānandne/	n	ఆనందం	with great pleasure	आनन्द से	చుడ్డుక్ కాండిర్కున్ కర్స్‌వల్ బొమ్మ తత్తెకె ఆనంద్నె-ఆనంద్ ఆంతెర్.	చిన్నపిల్లలకు ఆటలు ఆడేందుకు బొమ్మలు తెస్తే చాలా ఆనంద పాడతారు.	Little children are so pleased when a playing doll is brought.									
ఆనల్	/ānal/	adv	చేయగలిగేటట్టు	preferably		నీతోడొ కామ్ అనల్ మత్తెకెన్ వెహ.	ఈ రోజు పని చేయగలిగేటట్టు ఉంటే చెప్పు.										
ఆనల్ సూడ	/ānal sūḍa/		అయ్యేదాకా చూడడం	waiting for something to happen		నిమ్మె డగుర్ ఆనల్ సూడన.	నీవు పెద్దగయ్యేదాకా చూడాలి.										
ఆప	/āpa/	v	ఆగు	to be	है जो वह	నన్న గిర్ వాంతొన్ నిమ్మె జర్రసి ఆప.	నేను కూడా వస్తాను కొద్ది సేపు ఆగు.										
